,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation,time,TEC_new
1364,E19,28822568.65558898,2135857.43020384,-6387149.916178885,636.8857111094304,94.59361610944288,2900.4160302105843,0.0002702622693959,26353409.97,E,2021-05-06 18:20:00,0.3085087604240443
1365,E24,4252183.026801957,-22711975.057348423,18497622.19139405,1227.9433404235367,-1395.803248506886,-1992.6086104627527,-0.000885822412556,27962872.544,E,2021-05-06 18:20:00,0.3540399230720201
1366,E26,16206718.514419824,20123343.95516121,14447153.36863099,538.785837796747,1351.5225216028575,-2486.747843333779,0.001841394172516,23995684.533,E,2021-05-06 18:20:00,0.1395768790571703
1367,E31,18893854.643007647,-22648039.21656116,2521636.944870686,94.44817227508628,-257.7620957706277,-3026.9647176553813,-0.0004808871308342,27832276.717,E,2021-05-06 18:20:00,0.3578637485742031
1368,E33,16832385.859402806,852557.2653144775,24337609.083791263,767.1828447440739,2321.0951777970167,-610.8569991532083,-0.0004683066508733,23649292.473,E,2021-05-06 18:20:00,0.10396535942103653
1369,E07,5731870.753599723,17811503.912761975,22945701.60183304,-2247.1706832848918,-483.8226875847206,938.3052463626276,-0.0005344600492662,25317178.682,E,2021-05-06 18:25:00,0.1831112876759271
1370,E12,8182457.808244928,-19018104.531025887,21143216.075448167,603.4971200493367,2038.7402262638857,1602.0407302461845,0.0052238817032729,24895839.821,E,2021-05-06 18:25:00,0.31737136977482605
1371,E19,29001113.475656588,2159267.826601557,-5512807.319462334,553.0868539637804,62.07508303541385,2927.862343237497,0.0002702651257777,26180816.678,E,2021-05-06 18:25:00,0.29221583547213675
1372,E24,4609461.855117574,-23128275.639354102,17887182.69032959,1153.8602183940689,-1378.7854428284577,-2076.518053544224,-0.0008858285559085,28012481.879,E,2021-05-06 18:25:00,0.398099098756672
1373,E26,16369686.983850656,20516085.939791825,13691311.420651888,546.9686428832088,1266.5002843778157,-2551.617766349193,0.0018413810203699,24078754.916,E,2021-05-06 18:25:00,0.15575777164755764
1374,E31,18912090.82058788,-22715585.96948793,1612012.975352859,27.596369710751237,-192.02789679099752,-3036.496020801664,-0.0004808872629951,27970459.104,E,2021-05-06 18:25:00,0.4614428729741219
1375,E33,17070049.663428273,1543251.1929522678,24137570.172771774,816.8443417678727,2282.8220035899385,-722.5816664244264,-0.0004683067787709,23608476.332,E,2021-05-06 18:25:00,0.11347203516150853
1376,E07,5052156.385311434,17673162.910842594,23211272.46268975,-2283.585550221429,-438.1152099878494,831.9643385873121,-0.0005344614619389,25403767.168,E,2021-05-06 18:30:00,0.23950750462742879
1377,E12,8373218.827146889,-18402065.70090516,21609083.15135332,668.3573089332626,2067.403555669045,1503.3831921806188,0.005223876214586,24763938.785,E,2021-05-06 18:30:00,0.3548102962821575
1378,E19,29154236.79230844,2173467.664616092,-4630837.676843418,467.44845324130085,33.20794052240152,2951.257177478494,0.0002702679821595,26010731.773,E,2021-05-06 18:30:00,0.32520786868176765
1379,E24,4944479.166362325,-23538797.49917816,17251999.094924618,1079.577174044421,-1357.2799181195046,-2157.5502735534133,-0.000885834699261,28069279.564,E,2021-05-06 18:30:00,0.5142544658822847
1380,E26,16534474.994813148,20883102.99474236,12916535.55038563,550.9049067740566,1180.066877519902,-2612.959436221835,0.0018413678682239,24165517.826,E,2021-05-06 18:30:00,0.20737228989165804
1381,E31,18910704.13264083,-22762952.28145437,700159.4362895988,-36.33852103968936,-123.25703583136848,-3041.8273933521364,-0.0004808873054571,28110809.82,E,2021-05-06 18:30:00,0.646512137355731
1382,E33,17322242.089578304,2221832.032517997,23904160.30362208,864.0028304692607,2240.3670716811,-833.3049961003962,-0.0004683068254963,23571272.299,E,2021-05-06 18:30:00,0.14961395779923706
1383,E07,4362130.318408003,17548825.064446334,23444765.54577575,-2315.8945938362976,-390.5052698729869,724.4775682550938,-0.0005344628432339,25496733.652,E,2021-05-06 18:35:00,0.36291200123432976
1384,E12,8583526.795356246,-17778135.41780926,22045038.205239933,733.7648820442871,2091.3400975859117,1402.6493482283377,0.0052238705316651,24632447.129,E,2021-05-06 18:35:00,0.4693948326263943
1385,E19,29281422.53811266,2179567.9152120296,-3742461.393225376,380.2101431855105,8.093573864883393,2970.568397954891,0.0002702708385413,25843448.441,E,2021-05-06 18:35:00,0.4329643432566277
1386,E24,5257214.51137563,-23942196.435787488,16592951.438797768,1005.3576097850772,-1331.3033671052794,-2235.5935061658133,-0.0008858408426135,28133038.885,E,2021-05-06 18:35:00,0.7532798709363022
1387,E26,16699799.269551184,21224011.46505092,12123897.08835631,550.5351064914619,1092.4875683927798,-2670.6879781565945,0.0018413547160778,24256003.854,E,2021-05-06 18:35:00,0.3192906133473226
1388,E31,18890598.029718127,-22789255.92267986,-212662.60841076256,-97.16998389117931,-51.64352140391659,-3042.9513534869566,-0.0004808874333547,28252921.728,E,2021-05-06 18:35:00,0.9482439874977442
1389,E33,17588178.75003521,2887068.2597918976,23637702.695050847,908.4359765680716,2193.883059152896,-942.8740208138568,-0.0004683069491307,23537845.381,E,2021-05-06 18:35:00,0.2290241718434344
1390,E07,3663041.202927637,17439027.502117857,23645859.23231317,-2343.990837063997,-341.2181467932068,615.9934183557513,-0.0005344642559066,25595812.122,E,2021-05-06 18:40:00,0.5892384943834245
1391,E12,8813505.68475188,-17147738.525160335,22450479.040278327,799.4531289374439,2110.5105062993343,1299.978994321656,0.0052238649223,24501507.063,E,2021-05-06 18:40:00,0.6926182608493776
1392,E19,29382227.391396653,2178707.8720147787,-2848907.665821444,291.6171223499791,-13.180639235167142,2985.769530845905,0.0002702736949231,25679260.705,E,2021-05-06 18:40:00,0.6433057611665023
1393,E24,5547726.31273721,-24337135.588201188,15910952.665002244,931.4637818226746,-1300.888018395569,-2310.5401445242987,-0.000885846985966,28203515.03,E,2021-05-06 18:40:00,1.1818172638425957
1394,E26,16864361.005246986,21538507.794997208,11314492.081549294,545.815296543185,1004.0309307712612,-2724.7235096620084,0.0018413415639318,24350244.179,E,2021-05-06 18:40:00,0.5235150358595971
1395,E31,18852729.99354766,-22793674.619943805,-1125190.2997987403,-154.7230452725402,22.608219348722827,-3039.8662393716104,-0.0004808874800801,28396396.691,E,2021-05-06 18:40:00,1.2099125221772449
1396,E33,17867009.7842701,3537775.400277474,23338566.490743123,949.9309093937272,2143.536190812115,-1051.1374916527689,-0.0004683071165346,23508368.66,E,2021-05-06 18:40:00,0.37192393736616947
1397,E07,2956166.781995044,17344238.83136247,23814276.80202569,-2367.7805198381743,-290.4848428056415,506.66166100733903,-0.0005344656372016,25700728.914,E,2021-05-06 18:45:00,0.9621190800186195
1398,E12,9063199.737651378,-16512308.391573569,22824846.102771517,865.1535003856413,2124.8909743665567,1195.5143840672597,0.0052238592436424,24371265.355,E,2021-05-06 18:45:00,1.056469760733362
1399,E19,29456282.319578167,2172050.902243477,-1951412.780265369,201.91931087159827,-30.54163230049797,2996.839799106682,0.0002702765513049,25518452.247,E,2021-05-06 18:45:00,0.9832107729077058
1400,E24,5816151.38348733,-24722290.08243887,15206947.35653712,858.1558850370543,-1266.0815353652615,-2382.286886571218,-0.0008858531293185,28280443.564,E,2021-05-06 18:45:00,1.882053189874928
1401,E26,17026850.573281314,21826369.38107526,10489439.778856635,536.7172732252386,914.9679168593012,-2774.9912518137576,0.0018413284117858,24448258.789,E,2021-05-06 18:45:00,0.8586176237636046
1402,E31,18798108.34733803,-22775448.64773108,-2036161.6959428196,-208.83480449130855,99.28391483033585,-3032.57624113916,-0.0004808876079777,28540831.11,E,2021-05-06 18:45:00,1.8983871687067253
1403,E33,18157823.133505236,4172821.3471667776,23007165.759817667,988.2849445370662,2089.504927440043,-1157.9458457192218,-0.000468307240169,23483012.102,E,2021-05-06 18:45:00,0.6012222324033704
1404,E07,2242811.783028513,17264857.61355649,23949786.507429924,-2387.184579634764,-238.541628141841,396.6332522181928,-0.000534467108082,25811191.922,E,2021-05-06 18:50:00,1.5350256461896974
1405,E12,9332572.090424586,-15873283.715384323,23167622.72396142,930.5969353228286,2134.474231813977,1089.4003813700986,0.0052238535649849,24241880.361,E,2021-05-06 18:50:00,1.593666880803733
1406,E24,6062704.17237235,-25096351.64004866,14481910.423560563,785.6911454729665,-1226.9468612140104,-2450.7348763380724,-0.000885859272671,28363537.685,E,2021-05-06 18:50:00,2.93438128730661
1407,E26,17185952.259540778,22087455.14525516,9649881.084195394,523.2286838773293,825.5709210785951,-2821.4216334784,0.0018413152596397,24550057.571,E,2021-05-06 18:50:00,1.3704327217755665
1408,E31,18727788.30172439,-22733884.175294083,-2944316.535216155,-259.35509513823155,178.1602917604351,-3021.0913438982484,-0.0004808877358754,28685828.271,E,2021-05-06 18:50:00,3.047165822137557
1409,E33,18459647.43938891,4791128.764588085,22643959.326790303,1023.306319224441,2031.9799623803192,-1263.151649392346,-0.0004683074075729,23461945.128,E,2021-05-06 18:50:00,0.9398386042972049
1410,E07,1524301.4710247433,17201210.839198753,24052202.22136311,-2402.137727611412,-185.62884212023076,286.0600779423024,-0.0005344684936403,25926913.8,E,2021-05-06 18:55:00,2.2530315968528916
1411,E12,9621505.316469878,-15232102.75616673,23478336.091910318,995.5145871957008,2139.268988830448,981.7840501439072,0.0052238478863273,24113521.221,E,2021-05-06 18:55:00,2.2160122753178237
1412,E24,6287675.738375805,-25458033.132146887,13736845.749146547,714.3229236081688,-1183.5620107600253,-2515.7898390010832,-0.0008858654160235,28452497.35,E,2021-05-06 18:55:00,4.0949579697913885
1413,E26,17340349.029192388,22321705.82655529,8796976.979434399,505.3530806980496,736.1128388932797,-2863.950388341703,0.0018413021074937,24655646.527,E,2021-05-06 18:55:00,2.003832155296748
1414,E31,18642868.18141217,-22668355.5365907,-3848398.573395792,-306.1469300109903,259.0057800703038,-3005.4273507308244,-0.0004808878637731,28830997.849,E,2021-05-06 18:55:00,4.0112976816075925
1415,E33,18771455.592511717,5391679.901541396,22249449.6466255,1054.814850979243,1971.1630209704008,-1366.609598204291,-0.0004683075312073,23445337.883,E,2021-05-06 18:55:00,1.410453318590551
1416,E07,801979.5251695606,17153552.83644789,24121383.4031319,-2412.589874953353,-131.99039594251383,175.0947346016116,-0.0005344699020498,26047591.853,E,2021-05-06 19:00:00,3.2930445767383074
1417,E12,9929801.494574605,-14590198.74593208,23756557.826326463,1059.638829547555,2139.300040469553,872.8145030944746,0.0052238422076698,23986367.268,E,2021-05-06 19:00:00,3.040381494208879
1418,E19,29515396.880370136,2129201.145549068,752284.9143513074,-71.2508572197475,-58.63426452666096,3005.143588187881,0.0002702850033529,25059009.154,E,2021-05-06 19:00:00,2.778575136463619
1419,E26,17488727.299259264,22529143.98992795,7931906.91931002,483.109918920888,646.8661239550557,-2902.51864459609,0.0018412889553476,24765019.439,E,2021-05-06 19:00:00,2.883705841028529
1420,E31,18544485.368180297,-22578307.678994674,-4747157.17587932,-349.0869901131905,341.58132897228984,-2985.605851754572,-0.0004808879916708,28975952.302,E,2021-05-06 19:00:00,6.132449605864757
1421,E33,19092168.23408093,5973518.389633925,21824182.68081872,1082.642621725769,1907.2666180980464,-1468.1768635839449,-0.0004683077568188,23433356.564,E,2021-05-06 19:00:00,1.9567369208531264
1422,E07,77201.52961347031,17122064.504945993,24157235.229338117,-2418.5051215070507,-77.87255439913933,63.8903838255481,-0.0005344712833448,26172924.017,E,2021-05-06 19:05:00,4.629498267235771
1423,E12,10257182.716632528,-13948995.07712331,24001904.5621569,1122.7041996039052,2134.608167653097,762.6426943424018,0.0052238365290122,23860609.922,E,2021-05-06 19:05:00,4.078199251331067
1424,E19,29480287.196729824,2111318.640759625,1653099.8980622846,-162.80453783495508,-59.90573226415715,2999.5973621468984,0.0002702878554714,24914381.646,E,2021-05-06 19:05:00,3.7144585165963253
1425,E26,17629781.702301234,22709873.752447236,7055867.2005540775,456.5344993469666,558.1018468602746,-2937.0730071520284,0.0018412758032016,24878163.323,E,2021-05-06 19:05:00,4.092135534244628
1426,E33,19420657.534200788,6535753.902706463,21368746.66663117,1106.6345076611233,1840.51294170382,-1567.7132024010975,-0.0004683078804532,23426167.026,E,2021-05-06 19:05:00,2.678110555807712
1427,E07,-648667.5724512513,17106852.49814263,24159709.017067123,-2419.863044862761,-23.52343195017917,-47.39955648570966,-0.0005344726378098,26302604.596,E,2021-05-06 19:10:00,6.297724451031622
1428,E12,10603291.516455766,-13309900.95099917,24214038.41918556,1184.448470564023,2125.2502702168417,651.4212592915006,0.005223831045441,23736446.519,E,2021-05-06 19:10:00,5.308102110780555
1429,E19,29417732.634082004,2093663.3328103807,2551628.3890652293,-254.1730145978864,-57.12038883044863,2989.9025003678494,0.000270290474873,24774416.703,E,2021-05-06 19:10:00,4.834346665750727
1430,E24,6837133.0658047125,-26456336.57299193,11391930.00913312,509.2546015443298,-1028.9068544153042,-2689.72510801926,-0.0008858835790306,28751336.047,E,2021-05-06 19:10:00,10.05203794445671
1431,E26,17762220.146671418,22864079.829944443,6170070.009610054,425.6779684299101,470.08875972575584,-2967.5654682153454,0.00184126268141,24995054.193,E,2021-05-06 19:10:00,5.610776226621634
1432,E33,19755751.12001509,7077563.347301796,20883771.743287545,1126.6488320199703,1771.133379022613,-1665.0811656702494,-0.0004683079314418,23423926.589,E,2021-05-06 19:10:00,3.582801280006077
1433,E07,-1374259.702600869,17107948.77233948,24128802.238671552,-2416.657599832008,30.80827190225913,-158.62151125570264,-0.0005344740191048,26436327.358,E,2021-05-06 19:15:00,8.365135163222222
1434,E12,10967693.419407392,-12674304.891920408,24392667.68043832,1244.6130052756007,2111.29794576952,539.3041049335508,0.0052238253710467,23614086.302,E,2021-05-06 19:15:00,6.72673826191486
1435,E19,29327827.838197503,2077450.4053633604,3446627.833811645,-345.0965326982572,-50.29452837899039,2976.07275708166,0.0002702933227282,24639336.648,E,2021-05-06 19:15:00,6.12894355875852
1436,E24,6980171.83938671,-26756204.54432671,10577323.122498536,444.6982318248404,-969.5926960223176,-2740.3612059700404,-0.0008858897138565,28860459.748,E,2021-05-06 19:15:00,13.268866267224798
1437,E26,17884767.255126156,22992028.29518418,5275738.980836643,390.6066804073768,383.0923765864476,-2993.954175862832,0.0018412495335272,25115658.505,E,2021-05-06 19:15:00,7.461679150247394
1438,E33,20096236.224945314,7598195.075421371,20369928.389476463,1142.557734812881,1699.367456690362,-1760.1463556519318,-0.0004683080508129,23426791.291,E,2021-05-06 19:15:00,4.673633872890839
1439,E07,-2098206.4638212654,17125310.833348714,24064558.315534905,-2408.8983255916005,84.87373961466525,-269.62207604908787,-0.0005344754899852,26573782.882,E,2021-05-06 19:20:00,10.875092380354266
1440,E12,11349875.879548334,-12043573.146291943,24537546.85183502,1302.9446379683163,2092.8392855559077,426.4464884004935,0.005223819811363,23493748.966,E,2021-05-06 19:20:00,8.320169800495238
1441,E19,29210745.06051568,2063887.494742101,4336860.358061436,-435.31660787580233,-39.45948466497244,2958.1274983152693,0.0002702960628085,24509352.22,E,2021-05-06 19:20:00,7.583504243757457
1442,E24,7104179.54353842,-27037727.65407966,9748092.444489213,382.4169534075418,-906.633597814525,-2787.2058896025937,-0.0008858958486825,28973740.847,E,2021-05-06 19:20:00,17.313783272332465
1443,E26,17996170.851328157,23094063.03681787,4374111.623192669,351.40274855202097,297.37402731840604,-3016.2022941055548,0.001841236371547,25239932.387,E,2021-05-06 19:20:00,9.676530719589236
1444,E33,20440863.781265438,8096969.756195999,19827927.4277912,1154.247806180387,1625.4622216322207,-1852.777464075124,-0.0004683081642725,23434906.877,E,2021-05-06 19:20:00,5.94924625221249
1445,E07,-2819145.403043104,17158821.629743088,23967066.51776795,-2396.6091081591635,138.42535693423645,-380.2480844583508,-0.0005344768755435,26714665.038,E,2021-05-06 19:25:00,13.858251924419477
1446,E12,11749251.97798976,-11419042.066434994,24648477.166246507,1359.1956359173737,2069.9766051166407,313.0046266813441,0.0052238141369687,23375660.517,E,2021-05-06 19:25:00,10.06239197159414
1447,E19,29066733.80846061,2054170.9802698449,5221095.168352383,-524.577323693157,-24.661404453797186,2936.091900456985,0.0002702989064005,24384659.267,E,2021-05-06 19:25:00,9.17577485295693
1448,E24,7209870.78511052,-27299836.28890032,8905385.180303413,322.6230921073819,-840.1907655450423,-2830.1948355285604,-0.0008859019835085,29090813.678,E,2021-05-06 19:25:00,21.69739063181324
1449,E26,18095205.28957015,23170606.12120028,3466434.781509526,308.1630936090404,213.18997477085392,-3034.2791634640494,0.0018412232194009,25367821.917,E,2021-05-06 19:25:00,12.270734297669389
1450,E33,20788353.049843542,8573283.699899806,19258518.190782536,1161.6202936785046,1549.671222993236,-1942.8466487050664,-0.0004683082836436,23448412.875,E,2021-05-06 19:25:00,7.401703146771816
1451,E07,-3535722.417441672,17208290.04082199,23836462.24643932,-2379.829286464713,191.2171553379444,-490.3469849121852,-0.0005344782257453,26858670.968,E,2021-05-06 19:30:00,17.334742154729625
1452,E12,12165160.956834856,-10802016.098637087,24725306.91634049,1413.1252790780595,2042.8275120000449,199.13547397357905,0.005223808577284,23260053.531,E,2021-05-06 19:30:00,11.91797955974523
1453,E19,28896119.899096835,2049480.879986008,6098109.440369437,-612.6257737360845,-5.961238327550891,2909.9966822512206,0.0002703016507439,24265439.429,E,2021-05-06 19:30:00,10.876004353919955
1454,E26,18180676.338379465,23222155.42472019,2553963.964985689,260.99954425896544,130.79058400235115,-3048.1596095310933,0.001841210061684,25499262.473,E,2021-05-06 19:30:00,15.245154718351342
1455,E33,21137395.784696165,9026609.744899323,18662488.1182428,1164.5916808846378,1472.2537357404665,-2030.2294860538937,-0.0004683083971031,23467440.621,E,2021-05-06 19:30:00,9.01544834078126
1456,E04,23808946.85304558,-11704184.956865914,-13114504.929306818,1307.0120354585104,-161.32937413858548,2514.678736281277,-0.0007653426462183,29048872.764,E,2021-05-06 19:35:00,30.82274405273363
1457,E07,-4246598.806350429,17273451.60493245,23672926.302529003,-2358.6124058277355,243.0060238488144,-599.7668669044585,-0.0005344796113036,27005499.105,E,2021-05-06 19:35:00,21.302556205433685
1458,E12,12596871.485036818,-10193761.360663252,24767931.499490563,1464.5001049190837,2011.52327413901,84.99660703003082,0.0052238029028897,23147172.61,E,2021-05-06 19:35:00,13.843883867497063
1459,E19,28699304.433109425,2050976.932697176,6966690.764798831,-699.2133710207515,16.56566911829278,2879.8782705440326,0.0002703044900726,24151860.253,E,2021-05-06 19:35:00,12.647696938279426
1460,E26,18251425.245307524,23249283.21625904,1637960.7664275914,210.03811288419163,50.41928327569725,-3057.8244804691008,0.0018411969095379,25634180.395,E,2021-05-06 19:35:00,18.586640352607546
1461,E33,21486661.05929643,9456499.601673286,18040661.23638032,1163.0937469500814,1393.4737887234378,-2114.8053760676607,-0.0004683085164742,23492111.808,E,2021-05-06 19:35:00,10.767042094802044
1462,E04,24189108.982664224,-11755681.442655236,-12351199.6899071,1227.0651590749526,-181.37179443247803,2573.435654977875,-0.000765345050695,28877014.174,E,2021-05-06 19:40:00,35.33046824950693
1463,E07,-4950452.806827513,17353969.435182024,23476685.13696476,-2333.0270505413946,293.5523185607434,-708.3568676093004,-0.0005344809615053,27154853.692,E,2021-05-06 19:40:00,25.757211188815365
1464,E12,13043582.931372926,-9595503.299260946,24776293.72258929,1513.095312792732,1976.2095106022568,-29.254144976403254,0.005223797343206,23037266.553,E,2021-05-06 19:40:00,15.791262678405577
1465,E19,28476762.33616227,2059793.957095983,7825638.20092561,-784.0962458465408,42.82962570263874,2845.778550707243,0.0002703072386794,24044071.21,E,2021-05-06 19:40:00,14.448816800845915
1466,E26,18306333.47250616,23252633.40627172,719692.3985446087,155.4189267164633,-27.687989828726284,-3063.260271410832,0.001841183868237,25772491.18,E,2021-05-06 19:40:00,22.26872465719283
1467,E33,21834799.75944835,9862584.420502968,17393897.41912257,1157.0740735689196,1313.599294456355,-2196.457431134116,-0.0004683085717261,23522536.24,E,2021-05-06 19:40:00,12.625442058794649
1468,E04,24544995.46033601,-11812637.667474886,-11570799.84782238,1145.2136040601572,-197.7110095480132,2628.629623581794,-0.0007653474551716,28705747.459,E,2021-05-06 19:45:00,38.73356707582012
1469,E07,-5645986.213248335,17449435.266627036,23248010.181027196,-2303.155636024724,342.62094164638216,-815.9671443214729,-0.0005344823470636,27306443.692,E,2021-05-06 19:45:00,30.702649236990453
1470,E12,13504428.982375983,-9008420.998964394,24750383.66445032,1558.6949816748634,1937.0445454143853,-143.45872033652014,0.0052237916730749,22930588.32,E,2021-05-06 19:45:00,17.707506106382553
1471,E19,28229040.9212121,2077038.036326245,8673764.448202722,-867.0365929794815,72.72714002903673,2807.745033332296,0.0002703100780081,23942204.054,E,2021-05-06 19:45:00,16.233324265325237
1472,E26,18344326.199266,23232919.562198658,-199571.5339114238,97.29534159868976,-103.30393514986832,-3064.459526490956,0.0018411707203542,25914096.382,E,2021-05-06 19:45:00,26.253120630451985
1473,E33,22180449.561556906,10244576.666731972,16723090.558778943,1146.4960057178828,1232.901083527569,-2275.07303969327,-0.000468308686834,23558810.957,E,2021-05-06 19:45:00,14.552733697954167
1474,E04,24876070.49799661,-11873928.395584911,-10774385.856615176,1061.695753517312,-210.25416306824545,2680.184352071004,-0.0007653498596482,28535286.994,E,2021-05-06 19:50:00,42.8603775856579
1475,E07,-6331926.893957828,17559371.216825247,22987217.740641933,-2269.095056818502,389.98193762738777,-922.4493188487692,-0.000534483755473,27459983.507,E,2021-05-06 19:50:00,36.10221115395234
1476,E12,13978479.648886953,-8433644.79590268,24690238.916730087,1601.0933853232318,1894.1999553325031,-257.4592646842838,0.005223786109127,22827399.555,E,2021-05-06 19:50:00,19.538432817957197
1477,E19,27956757.834801093,2103781.819971609,9509897.023444677,-947.8029245910454,106.1410608546886,2765.830535197881,0.0002703129430301,23846379.26,E,2021-05-06 19:50:00,17.952950106144378
1478,E26,18364376.90203272,23190921.9687138,-1118559.3745115288,35.8338450282771,-176.21032429934297,-3061.4204886040234,0.001841157500166,26058892.885,E,2021-05-06 19:50:00,30.492040311565887
1479,E33,22522239.383910373,10602269.785369324,16029168.2405306,1131.3390147544703,1151.6519600461213,-2350.543479995285,-0.0004683087463491,23601023.174,E,2021-05-06 19:50:00,16.505251285518415
1480,E04,25181870.63276513,-11938402.624533417,-9963060.301482271,976.755253658377,-218.9223845903612,2728.028603282069,-0.0007653522641248,28365842.84,E,2021-05-06 19:55:00,47.16205211045645
1481,E07,-7007034.960793061,17683231.267132185,22694668.169900894,-2230.955478970118,435.41152248895537,-1027.6565070594447,-0.0005344851410313,27615195.966,E,2021-05-06 19:55:00,41.547743422737
1482,E12,14464745.207816806,-7872250.948515563,24595944.29893427,1640.0952487937147,1847.8588651785328,-371.0981384822244,0.0052237804432592,22727962.396,E,2021-05-06 19:55:00,21.230565514016504
1483,E19,27660598.997114755,2141061.233138335,10332880.401328113,-1026.1714339637851,142.9411956312523,2720.093327595312,0.0002703157780956,23756694.934,E,2021-05-06 19:55:00,19.559115137598475
