,index,datetime,X,Y,Z,dtr_GPS,dtr_GAL,in_view_sat,dtr
31,0,2021-07-17 02:35:00,4642429.396541555,1028630.5607422423,4236849.181469331,-3.2288849426810936e-09,4.045740560438046e-09,15,7.27462550311914e-09
32,0,2021-07-17 02:40:00,4642429.985249633,1028631.1337732598,4236849.2095713075,-4.142498130325716e-09,1.1588451844337927e-08,17,1.5730949974663644e-08
33,0,2021-07-17 02:45:00,4642429.788781368,1028630.355503066,4236852.012763868,-2.4548160823787753e-09,2.305672523521313e-08,14,2.5511541317591906e-08
34,0,2021-07-17 02:50:00,4642430.344939864,1028630.2306010461,4236852.168195685,-2.0312653464966486e-10,3.2321241542626024e-08,14,3.252436807727569e-08
35,0,2021-07-17 02:55:00,4642430.2598546585,1028630.3376486056,4236852.157662741,4.5480070160477944e-10,3.906498194167434e-08,15,3.861018124006956e-08
36,0,2021-07-17 03:00:00,4642430.820956165,1028630.2656110055,4236852.421954834,5.488599837568298e-10,4.497321717589919e-08,14,4.442435719214236e-08
37,0,2021-07-17 03:05:00,4642431.221312099,1028630.4556063027,4236852.411640111,2.757941841911294e-11,4.9696365102257574e-08,14,4.966878568383846e-08
38,0,2021-07-17 03:10:00,4642430.815362527,1028630.2604739566,4236851.783773216,-1.0981522123891086e-09,5.322858540641982e-08,14,5.4326737618808926e-08
39,0,2021-07-17 03:15:00,4642431.399860438,1028630.3185165499,4236852.615793449,-6.560574906049202e-10,5.8447582956972385e-08,14,5.910364044757731e-08
40,0,2021-07-17 03:20:00,4642431.997054383,1028630.3929896929,4236852.302005864,6.973332506655499e-10,6.23653783407594e-08,15,6.166804509009385e-08
41,0,2021-07-17 03:25:00,4642431.709230152,1028630.1191158505,4236852.602062967,9.048761408355381e-10,6.616371631301392e-08,14,6.525884017217838e-08
42,0,2021-07-17 03:30:00,4642432.031688149,1028629.8550182312,4236852.045752874,-9.213539955440762e-10,6.8389377020714e-08,12,6.931073101625808e-08
43,0,2021-07-17 03:35:00,4642432.3336852975,1028630.3605249046,4236852.590187388,-7.651614870076936e-10,7.01133397349283e-08,12,7.087850122193598e-08
44,0,2021-07-17 03:40:00,4642432.332562729,1028630.5820122589,4236853.864088184,2.428177311910026e-09,7.52083769865628e-08,12,7.278019967465277e-08
45,0,2021-07-17 03:45:00,4642431.705548271,1028631.0932213829,4236852.959274103,-6.953547378580295e-10,7.149431462196873e-08,12,7.218966935982676e-08
46,0,2021-07-17 03:50:00,4642433.046116294,1028630.2813903933,4236853.314028727,1.0660698304777922e-09,7.407468106427371e-08,16,7.300861123379591e-08
47,0,2021-07-17 03:55:00,4642433.039800545,1028630.3228405395,4236853.482116334,6.72870129152268e-10,7.470535604446521e-08,16,7.403248591531294e-08
48,0,2021-07-17 04:00:00,4642432.501149301,1028630.7027899371,4236852.801544378,-4.053816094535307e-09,6.919902018202892e-08,14,7.325283627656423e-08
49,0,2021-07-17 04:05:00,4642432.280388006,1028630.6146311903,4236852.497620261,-4.8591042848396695e-09,6.96490655175757e-08,14,7.450816980241537e-08
50,0,2021-07-17 04:10:00,4642430.934277985,1028630.526956535,4236852.106568078,-6.129581296307729e-09,6.925434731145347e-08,15,7.53839286077612e-08
51,0,2021-07-17 04:15:00,4642432.0046870615,1028630.3237965711,4236852.62143687,-4.376989560772117e-09,7.088202645843563e-08,15,7.525901601920775e-08
