,time,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation
923,2021-07-17 12:15:00,E02,19653670.9240043,-19081822.19052651,11232442.623980545,948.563130449372,-615.2049858826178,-2704.8039280681796,0.00023351908487256745,25982007.689,E
924,2021-07-17 12:15:00,E04,10343839.511947632,21219394.48212518,17864215.19346593,-1509.7519319964063,-962.1184435018396,2018.376338743562,-0.0008152076842974994,25261955.148,E
925,2021-07-17 12:15:00,E09,24992565.849476166,15825881.561400173,706885.4316398406,-30.797843962372845,-84.39782919241806,3008.512457620957,0.005597481670690458,23729601.906,E
926,2021-07-17 12:15:00,E11,13295905.792166447,16213928.9922918,20882534.35650322,35.822613057182025,2101.0699547016693,-1651.9584545868724,0.005707748176746798,22425017.358,E
927,2021-07-17 12:15:00,E25,27222181.1739509,-9254495.001117308,-7022626.598055181,-669.5640049257412,245.373445831311,-2914.4968599572676,-0.0005402757843739516,27408329.265,E
928,2021-07-17 12:15:00,E30,1103578.763774748,-18381300.85709651,23173508.16844772,2038.1708908607407,-1120.5304613575843,-985.0428842088227,0.0027769728690714406,26514691.88,E
929,2021-07-17 12:15:00,E36,15892253.322594492,-5626850.419974247,24325264.77819056,-77.14763029503503,2443.6937116489516,615.8860116786301,-0.00023563310270450415,24037302.197,E
930,2021-07-17 12:20:00,E02,19925316.228118025,-19263769.984685782,10413424.430205192,862.401452833688,-597.0606530412946,-2754.6884109399357,0.0002335198223591,26073819.274,E
931,2021-07-17 12:20:00,E04,9880000.335131153,20931278.717124205,18457238.0678396,-1582.2486796974272,-957.979653126039,1934.6559899293472,-0.0008152098744176,25259733.213,E
932,2021-07-17 12:20:00,E09,24971351.847072892,15793772.803624522,1608741.3185509348,-110.94362788956587,-129.05927297116915,3003.166977370711,0.005597477895208,23584231.705,E
933,2021-07-17 12:20:00,E11,13314307.135490183,16836467.640858024,20372609.208158597,86.46081936627914,2048.5057409559095,-1747.1497651978716,0.005707732402698064,22484963.706,E
934,2021-07-17 12:20:00,E25,27010760.25367736,-9172157.824153908,-7891915.0180831,-739.3754944220348,304.00931103750133,-2880.0913386789184,-0.0005402759998105,27575575.45,E
935,2021-07-17 12:20:00,E30,1707013.3598943362,-18722355.156593725,22862036.189226147,1984.189280286773,-1152.5999934595968,-1091.197344046266,0.0027769636561743288,26473519.319,E
936,2021-07-17 12:20:00,E36,15878000.638072774,-4890930.555879894,24493159.935662687,-17.732190612544645,2461.6368370271775,503.2862635399605,-0.0002356346813031,23978794.411,E
937,2021-07-17 12:25:00,E02,20171122.588103376,-19439627.65970866,9580010.380950706,776.347791131551,-574.6078664790011,-2800.7651396696037,0.00023352059827176744,26171955.554,E
938,2021-07-17 12:25:00,E04,9394660.85739707,20645007.240842916,19024741.302448794,-1653.044442591746,-949.8362633728259,1848.2634168445961,-0.0008152122959472434,25265740.303,E
939,2021-07-17 12:25:00,E09,24925822.605739947,15748812.450727794,2508369.6372197326,-192.86020589498324,-170.05608529509823,2993.663008268777,0.005597474045487457,23443430.29,E
940,2021-07-17 12:25:00,E11,13347535.862171898,17442631.002656583,19834486.69192896,134.6351138679559,1991.927627481597,-1839.9192428481097,0.00570771662864933,22547554.179,E
941,2021-07-17 12:25:00,E25,26778885.067635085,-9071818.54968952,-8750282.665807793,-805.8956202875163,365.3540074446929,-2841.6995002217104,-0.0005402763621872953,27742904.442,E
942,2021-07-17 12:25:00,E30,2293780.062947818,-19072513.605283912,22518940.850686632,1927.0853129861378,-1181.1974464035666,-1195.8409870272626,0.002776954443277217,26440380.791,E
943,2021-07-17 12:25:00,E36,15881683.619680744,-4150352.940228293,24627166.98677641,42.379188149113205,2474.7365401845773,389.9912271708052,-0.00023563624591820415,23922477.309,E
944,2021-07-17 12:30:00,E02,20391162.169879384,-19608106.905514516,8733352.617257498,690.667666271394,-547.8774491268375,-2842.9702383872987,0.0002335213939659,26276100.016,E
945,2021-07-17 12:30:00,E04,8888367.620695824,20361768.74975255,19565940.797864348,-1721.902331793511,-937.7754550404987,1759.3183865008798,-0.0008152146474458,25279954.985,E
946,2021-07-17 12:30:00,E09,24855482.429394953,15692116.562608242,3404524.444906685,-276.31039335966784,-207.27865500816685,2980.013990063828,0.005597470328212,23307534.047,E
947,2021-07-17 12:30:00,E11,13394820.217311542,18031239.18906852,19268912.68417597,180.12987315513368,1931.4996547092005,-1930.1386216312396,0.0057077008546005965,22612836.684,E
948,2021-07-17 12:30:00,E25,26527569.53669521,-8952695.000413634,-9596541.194701314,-868.9499622007302,429.2040627669933,-2799.37426261084,-0.0005402766983025,27909936.948,E
949,2021-07-17 12:30:00,E30,2862972.993358882,-19430710.578996517,22144697.153538004,1867.0661115238145,-1206.1648634959515,-1298.8291411899463,0.002776945230380105,26415347.514,E
950,2021-07-17 12:30:00,E36,15903471.02881431,-3406576.9143960644,24727100.795669504,102.91931865483846,2482.956796515051,276.15759012696907,-0.0002356377663091,23868431.566,E
951,2021-07-17 12:35:00,E02,20585586.82651882,-19767930.946055744,7874621.327753605,605.6247244791111,-516.9155779438911,-2881.2454508006367,0.00023352217414182388,26385915.075,E
952,2021-07-17 12:35:00,E04,8361736.564860339,20082723.667983346,20080089.30743443,-1788.590902024056,-921.8981311968917,1667.9438742262068,-0.0008152170689754434,25302324.657,E
953,2021-07-17 12:35:00,E05,26204893.517853692,2430386.5896449164,-13537624.522097565,1228.7148393448783,580.1577272273238,2481.9603819893764,-0.0002645084676373553,28058629.079,E
954,2021-07-17 12:35:00,E09,24759907.391414594,15624832.231144283,4295965.258257249,-361.05107834638665,-240.6313529561018,2962.2390105581744,0.005597466482754714,23176863.519,E
