,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat,dtr
18,0,2021-07-14 02:30:00,4642431.565241783,1028629.9120289235,4236852.1544566415,7.1426942080300295e-09,8.285624171099117e-08,17,7.571354750296113e-08
19,0,2021-07-14 02:35:00,4642431.624305531,1028629.9370156992,4236852.962415695,6.470838214645592e-09,8.244861508192677e-08,17,7.597777686728118e-08
20,0,2021-07-14 02:40:00,4642431.296918617,1028629.610089278,4236852.28190269,6.292721282501892e-09,8.199186094133157e-08,16,7.569913965882967e-08
21,0,2021-07-14 02:45:00,4642431.450685304,1028629.7104409831,4236852.491080452,4.701025429765706e-09,8.036799004016948e-08,16,7.566696461040377e-08
22,0,2021-07-14 02:50:00,4642431.598016631,1028629.9617347142,4236852.712252354,6.177999405213144e-09,8.273257049852522e-08,16,7.655457109331208e-08
23,0,2021-07-14 02:55:00,4642431.0484253485,1028629.6798358443,4236852.454341171,4.129180721492449e-09,7.967986330288904e-08,15,7.55506825813966e-08
24,0,2021-07-14 04:00:00,4642431.396123251,1028629.3542022505,4236853.2643262,-1.5991628089153056e-09,7.550017915617675e-08,17,7.709934196509206e-08
25,0,2021-07-14 04:05:00,4642431.060612772,1028629.3265436168,4236852.828456457,3.917910941090001e-10,7.71010232337639e-08,17,7.67092321396549e-08
26,0,2021-07-14 04:10:00,4642431.837587321,1028629.3697998101,4236853.680894864,4.62109151429607e-10,7.61275768306041e-08,16,7.566546767917449e-08
27,0,2021-07-14 04:15:00,4642431.08028059,1028629.6169163433,4236853.206339691,-3.2228438593025344e-09,7.343549441083704e-08,16,7.665833827013958e-08
28,0,2021-07-14 04:20:00,4642431.47031327,1028629.4209406758,4236853.303544582,1.873650519751223e-09,7.820422948623962e-08,17,7.63305789664884e-08
29,0,2021-07-14 04:25:00,4642429.6573208915,1028629.442705361,4236852.411903524,-2.9648384447228542e-09,7.435646334059618e-08,17,7.732130178531903e-08
30,0,2021-07-14 04:30:00,4642430.762527517,1028629.5571812072,4236853.191574522,1.2698296015615774e-09,7.801080553573774e-08,16,7.674097593417616e-08
31,0,2021-07-14 04:35:00,4642430.361226663,1028629.3273843344,4236852.548013137,-4.948804764146874e-10,7.702784510597968e-08,16,7.752272558239437e-08
32,0,2021-07-14 04:40:00,4642430.158072393,1028629.5146141287,4236852.845837897,-1.0036606262418496e-09,7.717143312175877e-08,16,7.817509374800062e-08
33,0,2021-07-14 04:45:00,4642430.178064385,1028629.1752493689,4236852.914680532,1.7086155391632496e-09,8.018324598940308e-08,16,7.847463045023983e-08
34,0,2021-07-14 04:50:00,4642430.5546341445,1028629.5827363858,4236852.910474354,1.6158970422896378e-09,7.950087728350109e-08,15,7.788498024121146e-08
