,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation,time,TEC,iono_delay
4081,E01,2115929.5235912334,-18989190.108615838,22603672.791104667,1615.0879991839336,1594.268519522409,1188.3148983509043,-0.001102004153836287,27614843.445,E,2021-05-06 12:20:00,8.253663117077128,1.3401674812592927
4082,E13,25274620.33390518,2471016.6857982194,15199514.805607522,-1495.8948175860212,332.53921610710836,2434.6140513600194,0.0004160191165283,23283608.026,E,2021-05-06 12:20:00,3.310571660311559,0.5375456231486359
4083,E15,8220574.394720713,14193154.213794228,24643360.70125198,-2369.157667736797,716.4235169434725,378.5859132155635,0.0008157393313013,24301994.206,E,2021-05-06 12:20:00,3.9178460657832286,0.6361502546764621
4084,E21,18137880.12316702,-4190853.320043375,23009628.31194856,1704.2364379747842,1559.6841539987113,-1058.8999941311754,-0.000663353886921,23900976.328,E,2021-05-06 12:20:00,3.4581734608393413,0.561512088757509
4085,E27,24282493.859412655,13598411.097718503,10092521.77246337,803.7135508612406,623.9870004574547,-2773.631353600285,-2.64989794232e-05,24049995.909,E,2021-05-06 12:20:00,3.64595137294557,0.5920020479348896
4086,E01,2609856.3780327663,-18513127.19678652,22944448.736529626,1677.3965248563202,1578.7903420058283,1083.2629653459203,-0.0011020065753659305,27459539.035,E,2021-05-06 12:25:00,6.827612519163117,1.108616155400051
4087,E13,24816792.000642117,2579594.5771280406,15919214.019828431,-1555.631888767908,391.6944875210896,2362.827693882303,0.0004160192614790181,23239568.639,E,2021-05-06 12:25:00,2.7102722049369663,0.4400735313393457
4088,E15,7511052.661040658,14417164.158919023,24739873.453399304,-2360.190423706149,776.7984874891347,264.7587552503882,0.0008157387259188891,24410168.122,E,2021-05-06 12:25:00,3.2256708061757915,0.5237600636667524
4089,E21,18650967.03816583,-3732333.884718094,22676114.439580034,1715.6264986938654,1496.798488954617,-1164.2693702961842,-0.0006633545477257442,23840248.364,E,2021-05-06 12:25:00,2.817915796240909,0.45755188471834773
4090,E27,24516524.217484377,13774260.291584257,9253646.389597425,755.8215475325735,548.6018978207329,-2818.2266730980937,-2.65014393221512e-05,24145028.099,E,2021-05-06 12:25:00,3.024867204985384,0.4911550914722434
4091,E01,3122138.9140917873,-18042326.578451283,23253480.80815064,1737.4200444434955,1559.2058807754554,976.713479508473,-0.001102008996895574,27305373.179,E,2021-05-06 12:30:00,5.828525983100702,0.9463920292633161
4092,E13,24341646.00834365,2706250.5386318974,16616884.660017302,-1611.3213435568368,453.02108216485584,2287.773867668861,0.00041601940642973617,23202103.573,E,2021-05-06 12:30:00,2.266174201870773,0.36796425164629853
4093,E15,6804935.526170283,14659113.493999226,24802179.615630448,-2346.472912479596,835.9764688548062,150.56826933463918,0.0008157381671481,24522334.771,E,2021-05-06 12:30:00,2.6908706216230773,0.4369232487710617
4094,E21,19166821.654397808,-3292950.115429816,22311227.88828225,1722.673977831243,1432.1548121658943,-1268.027544344479,-0.0006633549928665,23785296.318,E,2021-05-06 12:30:00,2.345345330281204,0.3808194615385867
4095,E26,27332535.29169127,-11157235.860974744,-2121508.027862729,154.52389070984967,-202.47424340613853,3053.6962165971,0.001842314435635,25976363.811,E,2021-05-06 12:30:00,4.7706877909293945,0.774628252928797
4096,E27,24735592.237732984,13927740.75690294,8401975.606110102,703.9842896759371,474.90290689612533,-2858.9249989672808,-2.650375245139e-05,24245732.317,E,2021-05-06 12:30:00,2.5506880520628052,0.41416146185303987
4097,E01,3652056.750304726,-17578002.05909682,23530341.806106795,1794.9272851996793,1535.6379637263062,868.813874375042,-0.0011020114184252174,27152602.445,E,2021-05-06 12:35:00,4.938443212654442,0.8018671113376998
4098,E13,23850418.024578,2851600.8180598468,17291561.987943444,-1662.8229740929169,516.2833407876736,2209.5566621858143,0.00041601955138045426,23171144.252,E,2021-05-06 12:35:00,1.9516367739857765,0.31689203964648416
4099,E15,6103637.287440788,14918604.236499125,24830193.85726205,-2328.0754251328244,893.6975880269529,36.1722497160702,0.0008157375617656892,24638204.998,E,2021-05-06 12:35:00,2.29608330624361,0.3728206661262078
4100,E21,19684129.270954326,-2873191.8654634133,21915473.46609648,1725.3010372519032,1366.0033254989664,-1370.0309771152793,-0.0006633556494079878,23736348.153,E,2021-05-06 12:35:00,2.0111830683851157,0.32656071720837465
4101,E26,27365250.326752435,-11213735.509082632,-1204142.711955827,63.771249081232895,-173.49987282611377,3061.367268936717,0.0018423012451196533,25825940.824,E,2021-05-06 12:35:00,3.7453844750167673,0.6081472440819
4102,E27,24938532.828915216,14059394.208415322,7538686.855609579,648.327625563193,403.12653178653636,-2895.670060353714,-2.6506208087084788e-05,24352030.107,E,2021-05-06 12:35:00,2.204765059182994,0.3579930988484706
4103,E01,4198821.295929752,-17121328.551321227,23774649.044609703,1849.6949243908184,1508.2229712462583,759.7134426822761,-0.0011020138399548609,27001496.851,E,2021-05-06 12:40:00,4.125910282003304,0.6699341507037806
