,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat,dtr
39,0,2021-05-06 03:15:00,4642430.458389001,1028627.0543440989,4236849.081886541,-1.2078064694232485e-08,6.625144156501787e-08,14,7.832950625925035e-08
40,0,2021-05-06 03:20:00,4642431.473360162,1028627.8983838191,4236852.578524157,-4.038827657321e-09,7.660088192492151e-08,17,8.063970958224251e-08
41,0,2021-05-06 03:25:00,4642432.032872304,1028627.6501857757,4236852.999773648,-8.084294730189284e-11,7.843639908954529e-08,17,7.851724203684718e-08
42,0,2021-05-06 03:30:00,4642433.022263384,1028628.03185345,4236853.681896596,8.626022975176721e-10,7.916526054787213e-08,17,7.830265825035446e-08
43,0,2021-05-06 03:35:00,4642432.778701288,1028628.2151849287,4236854.385340138,4.43264619295269e-09,8.341285368695639e-08,17,7.89802074940037e-08
44,0,2021-05-06 03:40:00,4642433.088894081,1028628.7639069485,4236853.953351372,6.002261247427326e-10,8.040732370292688e-08,18,7.980709757818415e-08
45,0,2021-05-06 03:45:00,4642434.082176427,1028628.5570118898,4236854.595628977,6.885413374821289e-09,8.700172145282446e-08,17,8.011630807800316e-08
46,0,2021-05-06 03:50:00,4642434.7044626875,1028628.9204966963,4236855.321959566,4.711994153683024e-09,8.337045738091059e-08,16,7.865846322722756e-08
47,0,2021-05-06 03:55:00,4642434.7454808075,1028628.7180248428,4236855.551741662,6.43266991050922e-09,8.694460374446834e-08,15,8.051193383395912e-08
48,0,2021-05-06 04:00:00,4642434.641047559,1028628.7128486292,4236855.489034188,7.122675735302686e-09,8.736980898699856e-08,16,8.024713325169588e-08
49,0,2021-05-06 04:05:00,4642435.169394043,1028628.6628662907,4236855.394589191,7.551731509474028e-09,8.908936958184394e-08,16,8.153763807236991e-08
50,0,2021-05-06 04:10:00,4642434.630582958,1028628.5537277935,4236855.574927037,5.8717044175725675e-09,8.672411075728315e-08,16,8.085240633971059e-08
51,0,2021-05-06 04:15:00,4642434.916482704,1028629.3373028951,4236855.18050703,3.7228800677890525e-09,8.473054904234045e-08,17,8.10076689745514e-08
52,0,2021-05-06 04:20:00,4642434.875268697,1028629.3717260985,4236855.276677339,4.900870050124238e-09,8.553911514425465e-08,16,8.063824509413041e-08
53,0,2021-05-06 04:25:00,4642434.822308943,1028629.4233149153,4236855.574384231,4.471486304143071e-09,8.596407571789103e-08,16,8.149258941374797e-08
54,0,2021-05-06 04:30:00,4642434.79073594,1028629.28463123,4236855.674785914,2.351118709761034e-09,8.384217327036356e-08,17,8.149105456060252e-08
55,0,2021-05-06 04:35:00,4642434.628951443,1028629.7136998607,4236855.179078967,7.2016531225949554e-09,8.819662856434627e-08,17,8.099497544175131e-08
56,0,2021-05-06 04:40:00,4642434.59616947,1028629.8034592159,4236855.568112968,1.706598869949857e-09,8.327396692890706e-08,17,8.15673680589572e-08
57,0,2021-05-06 04:45:00,4642435.164571884,1028629.8746966512,4236856.066314575,7.526405377962879e-09,8.918927808323031e-08,17,8.166287270526743e-08
58,0,2021-05-06 04:50:00,4642434.898919253,1028630.2262084159,4236856.305747241,5.8513220158215165e-09,8.670761210310235e-08,17,8.085629008728084e-08
59,0,2021-05-06 04:55:00,4642435.627407785,1028630.5299898587,4236856.028083554,6.595122011781563e-09,8.826994868451962e-08,18,8.167482667273806e-08
60,0,2021-05-06 05:00:00,4642434.834795164,1028630.2878818564,4236855.306375113,7.1954445637421495e-09,8.877835270715642e-08,18,8.158290814341428e-08
61,0,2021-05-06 05:05:00,4642434.327864061,1028630.5002616127,4236855.598582176,4.011378775188461e-09,8.546776250848425e-08,18,8.145638373329578e-08
62,0,2021-05-06 05:10:00,4642434.470158027,1028630.5157474618,4236855.385376931,4.644545875909297e-09,8.488590710808162e-08,18,8.024136123217232e-08
63,0,2021-05-06 05:15:00,4642434.238745419,1028630.8429712882,4236855.381152079,3.068833971983395e-09,8.458112567003911e-08,19,8.151229169805571e-08
64,0,2021-05-06 05:20:00,4642433.652450069,1028630.7589702707,4236854.622123899,1.887697824219555e-09,8.20329732785479e-08,17,8.014527545432834e-08
65,0,2021-05-06 05:25:00,4642433.948591271,1028630.8785534,4236854.831053003,-2.319977921337428e-10,8.096117408571315e-08,17,8.119317187784688e-08
66,0,2021-05-06 05:30:00,4642434.622397777,1028631.1398219605,4236855.343223182,2.596532368119303e-10,8.079913342171959e-08,19,8.053948018490766e-08
67,0,2021-05-06 05:35:00,4642434.326988395,1028630.9585855594,4236855.534405403,-1.8600049394440119e-09,7.943724501817508e-08,19,8.129724995761909e-08
68,0,2021-05-06 05:40:00,4642434.063807285,1028631.0891283074,4236855.014041552,-1.1303411118323532e-09,8.087318234950674e-08,19,8.200352346133909e-08
69,0,2021-05-06 05:45:00,4642433.8750031805,1028631.523795827,4236854.833332277,5.641229041571414e-10,8.278794275760264e-08,17,8.22238198534455e-08
70,0,2021-05-06 05:50:00,4642432.858366082,1028631.7351884089,4236853.990474328,-2.910208064899968e-09,7.723158179669033e-08,17,8.01417898615903e-08
71,0,2021-05-06 05:55:00,4642432.203034515,1028631.4539504313,4236853.653582374,1.5767160478619103e-09,8.040412977986026e-08,17,7.882741373199835e-08
72,0,2021-05-06 06:00:00,4642432.869618946,1028631.1489595844,4236853.5948166745,-3.5477839171554595e-09,7.658420313140016e-08,17,8.013198704855562e-08
