,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat
65,0,2021-05-06 05:25:00,4642434.884646373,1028631.2596786289,4236855.402428447,2.1823010456737843e-09,7.253631515673179e-08,17
66,0,2021-05-06 05:30:00,4642435.525389969,1028631.3618241915,4236856.159722435,2.876688971518109e-09,7.188157204869562e-08,19
67,0,2021-05-06 05:35:00,4642435.204933995,1028631.2825778085,4236856.055278085,3.6546764877041035e-10,6.89671197674126e-08,19
68,0,2021-05-06 05:40:00,4642434.62181627,1028631.4942730438,4236855.522691813,6.31273664335202e-10,6.729133855259963e-08,19
69,0,2021-05-06 05:45:00,4642434.411329123,1028631.8441391696,4236855.128624775,1.9755614529641788e-09,6.768345070359e-08,17
70,0,2021-05-06 05:50:00,4642432.8021523245,1028632.0623234855,4236853.940693472,-2.9082407079506356e-09,5.975396490848406e-08,17
71,0,2021-05-06 05:55:00,4642431.888903085,1028631.7199238782,4236853.069191558,4.0770332273970367e-10,6.196488187479931e-08,17
72,0,2021-05-06 06:00:00,4642432.922617929,1028631.6002537871,4236853.35628651,-3.5704152329215604e-09,5.883037177085231e-08,17
73,0,2021-05-06 06:05:00,4642432.64470387,1028631.7727402702,4236853.55246336,-3.435976647515877e-09,5.940876229990278e-08,17
74,0,2021-05-06 06:10:00,4642432.1657445505,1028631.6006185816,4236852.748938149,-4.6622894738551885e-09,5.746570101846847e-08,17
75,0,2021-05-06 06:15:00,4642432.651648238,1028631.9458778829,4236852.848936135,-1.2429308193026788e-09,6.107229936756922e-08,17
76,0,2021-05-06 06:20:00,4642430.792106522,1028631.5850696651,4236850.27959148,-8.222831068359194e-09,5.2725174274769554e-08,15
77,0,2021-05-06 06:25:00,4642432.343032469,1028631.9326411793,4236852.312862029,-5.05017078777543e-09,5.93022039066368e-08,17
78,0,2021-05-06 06:30:00,4642431.660422489,1028632.1233999791,4236850.874855255,-6.709832224211908e-09,5.801522198105967e-08,14
79,0,2021-05-06 06:35:00,4642431.097303021,1028631.7032386162,4236851.212943644,9.718951690816135e-10,6.588796242576333e-08,14
80,0,2021-05-06 06:40:00,4642430.919695968,1028631.8083770114,4236851.4161635,-7.978366415013731e-10,6.497893972787626e-08,14
81,0,2021-05-06 06:45:00,4642432.5554968435,1028631.671406088,4236853.176058924,3.990046785628803e-09,7.383271345642818e-08,15
82,0,2021-05-06 06:50:00,4642431.088294415,1028632.259133197,4236852.082437868,7.926322535376943e-10,6.950116300227021e-08,13
83,0,2021-05-06 06:55:00,4642431.462003116,1028630.9468666529,4236854.195650565,5.543750737878675e-09,7.89513207000578e-08,17
84,0,2021-05-06 07:00:00,4642431.919348215,1028630.9061308325,4236854.032647016,3.432827274615238e-09,7.650517133364708e-08,18
85,0,2021-05-06 07:05:00,4642431.56245223,1028630.5295613938,4236853.943835807,3.464849065952687e-09,7.797720393617306e-08,18
86,0,2021-05-06 07:10:00,4642431.678489927,1028630.3678948977,4236853.873960621,2.6585446288893938e-09,7.86193711680629e-08,19
87,0,2021-05-06 07:15:00,4642432.249475658,1028630.6985959554,4236854.432702272,6.196362772254668e-09,8.343380932733812e-08,17
88,0,2021-05-06 07:20:00,4642432.650918947,1028630.6073853725,4236854.712939557,6.611016203701319e-09,8.554197919768896e-08,16
89,0,2021-05-06 07:25:00,4642432.273001533,1028630.6696251484,4236854.3836961575,7.760692711192025e-09,8.692941627347959e-08,16
90,0,2021-05-06 07:30:00,4642432.339043692,1028630.3314623774,4236854.799229233,5.961892023870984e-09,8.665734660727048e-08,17
91,0,2021-05-06 07:35:00,4642432.073717074,1028630.3339390757,4236855.304534494,8.519719992226059e-09,8.875470391936121e-08,16
92,0,2021-05-06 07:40:00,4642431.397715859,1028630.0095996999,4236854.929449631,7.342382488552431e-09,8.826347081248544e-08,15
93,0,2021-05-06 07:45:00,4642432.131104031,1028629.8570900236,4236856.053927978,7.463294224041202e-09,8.997410048368846e-08,16
94,0,2021-05-06 07:50:00,4642431.663487461,1028629.904725055,4236856.017290317,6.030452190746764e-09,8.785376431198336e-08,16
95,0,2021-05-06 07:55:00,4642431.571484179,1028629.6048970753,4236856.178955007,7.300459398638059e-09,9.064950130898127e-08,17
96,0,2021-05-06 08:00:00,4642432.3656127425,1028630.1014130883,4236856.541239885,9.68620860233033e-09,9.236446880825517e-08,16
97,0,2021-05-06 08:05:00,4642432.70877139,1028630.1881902626,4236857.1499108365,1.1708205866690058e-08,9.442923582521688e-08,16
98,0,2021-05-06 08:10:00,4642433.043480117,1028630.2857882481,4236857.164928711,1.3860586554133525e-08,9.671382481474052e-08,16
99,0,2021-05-06 08:15:00,4642432.7971690055,1028630.4350494953,4236857.52919244,1.165967593474163e-08,9.495181510361736e-08,17
100,0,2021-05-06 08:20:00,4642432.62507936,1028630.2705645732,4236857.39142155,1.1058440718361059e-08,9.390520008452431e-08,15
101,0,2021-05-06 08:25:00,4642433.681343416,1028630.7470884614,4236858.142327113,1.5929455060988466e-08,9.905273322440344e-08,14
102,0,2021-05-06 08:30:00,4642433.022799486,1028630.5353039178,4236857.613159316,1.7761256681811718e-08,1.0023172504162946e-07,15
103,0,2021-05-06 08:35:00,4642432.685363689,1028630.2894725624,4236857.694802978,1.9069079588872888e-08,1.0312186212213882e-07,15
104,0,2021-05-06 08:40:00,4642432.993374203,1028630.5722086229,4236857.773014552,1.3974406873911515e-08,9.69600271052646e-08,15
105,0,2021-05-06 08:45:00,4642433.192140588,1028630.6793810402,4236858.048960773,1.6103461497322322e-08,9.910282054748792e-08,15
106,0,2021-05-06 08:50:00,4642432.034082041,1028630.8951552471,4236855.21355743,1.0358629927924327e-08,8.762579314882316e-08,11
107,0,2021-05-06 08:55:00,4642433.278039603,1028630.989351689,4236854.657259639,1.4177442856124822e-08,8.964476817556096e-08,10
108,0,2021-05-06 09:00:00,4642434.414904565,1028631.0450693466,4236858.4296918,2.0840729423686788e-08,1.044606555725239e-07,15
